City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Cabo San Lucas,MX,84.0,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
5,Rikitea,PF,78.35,light rain,-23.1203,-134.9692,Pension Maro'i
9,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
16,Shujalpur,IN,81.7,broken clouds,23.4,76.7167,Krishna Sweets
21,Sao Filipe,CV,76.03,clear sky,14.8961,-24.4956,Tortuga B&B
25,Atuona,PF,80.71,few clouds,-9.8,-139.0333,Villa Enata
28,Mahebourg,MU,77.0,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
33,Butaritari,KI,80.94,light rain,3.0707,172.7902,Isles Sunset Lodge
34,Puerto Ayora,EC,80.6,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
35,Namatanai,PG,78.04,light rain,-3.6667,152.4333,Namatanai Hotel
37,Kattivakkam,IN,82.4,mist,13.2167,80.3167,Raj's villa
38,Banjar,ID,80.6,few clouds,-8.19,114.9675,The Hamsa Resort
42,Avarua,CK,82.4,moderate rain,-21.2078,-159.775,Paradise Inn
47,Hilo,US,80.6,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
48,Kapaa,US,75.0,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
51,Arraial Do Cabo,BR,78.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
56,Lodwar,KE,85.35,broken clouds,3.1191,35.5973,Turkwel Lodge
59,Bandarbeyla,SO,79.07,clear sky,9.4942,50.8122,JABIR HOTEL
60,Hambantota,LK,78.22,overcast clouds,6.1241,81.1185,Bungalow 63
62,Bahia Honda,CU,88.77,few clouds,22.9036,-83.1592,Casa Gualberto - Deysi
67,Mangrol,IN,78.51,clear sky,21.1167,70.1167,Hotel The Royal Honours
76,Puerto Baquerizo Moreno,EC,82.4,broken clouds,-0.9,-89.6,Hotel los Algarrobos
86,Bambous Virieux,MU,79.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
88,Kavieng,PG,77.52,light rain,-2.5744,150.7967,Nusa Island Retreat
89,Manikpur,IN,82.22,scattered clouds,25.0667,81.1167,Pure Jhau Lal
92,Cap Malheureux,MU,79.0,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
95,Bhadrachalam,IN,81.05,few clouds,17.6667,80.8833,Hotel Srinidhi Residency
102,San Patricio,US,87.8,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
106,Vila Do Maio,CV,75.2,clear sky,15.1333,-23.2167,Residence 'I Delfini'
107,Taoudenni,ML,88.95,clear sky,22.6783,-3.9836,
110,San Cristobal,VE,89.6,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
111,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
117,Ewa Beach,US,78.8,broken clouds,21.3156,-158.0072,Uncle Junior Robert
118,Georgetown,MY,81.0,scattered clouds,5.4112,100.3354,Cititel Penang
121,Praia,CV,75.2,clear sky,14.9215,-23.5087,LT Aparthotel
126,Hithadhoo,MV,82.67,overcast clouds,-0.6,73.0833,Scoop Guest House
130,Kyabe,TD,88.41,broken clouds,9.4515,18.9449,
134,Puerto Escondido,MX,86.0,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
136,Birao,CF,82.49,overcast clouds,10.2849,22.7882,
137,Ayame,CI,77.92,light rain,5.6083,-3.1563,Hotel Bossan
141,Celestun,MX,84.09,clear sky,20.8667,-90.4,Posada Lilia
144,Alofi,NU,77.0,few clouds,-19.0595,-169.9187,Taloa Heights
146,Tambura,SS,76.06,light rain,5.6,27.4667,Rikito Lodge
150,Faanui,PF,82.47,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
151,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
152,Sao Joao Da Barra,BR,78.8,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
153,Ahome,MX,87.01,broken clouds,25.9167,-109.1833,Rancho El Sauce y la Palma
158,San Juan,AR,76.03,clear sky,-31.5375,-68.5364,Hotel Provincial
161,Gwalior,IN,81.91,clear sky,26.2236,78.1792,Hotel Grace
162,Carnarvon,AU,78.8,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
167,Adrar,MR,82.17,scattered clouds,20.5022,-10.0711,
168,Caravelas,BR,76.1,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
174,Mount Pleasant,US,77.0,clear sky,32.7941,-79.8626,Best Western Patriots Point
178,Kahului,US,75.2,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
186,Catalina,US,88.0,overcast clouds,32.5056,-110.9211,Miraval Arizona Resort & Spa
187,Harper,LR,81.18,scattered clouds,4.375,-7.7169,Screensaver
190,Lazaro Cardenas,MX,82.96,scattered clouds,17.9583,-102.2,Hotel Quinta Antigua
192,Virginia Beach,US,80.6,overcast clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
193,Touros,BR,80.6,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
197,Sur,OM,81.45,clear sky,22.5667,59.5289,Sur Plaza Hotel
200,Jizan,SA,84.2,clear sky,17.3333,42.6667,شهدان. ابوالحجر
204,Lakatoro,VU,79.84,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
205,Bathsheba,BB,78.8,volcanic ash,13.2167,-59.5167,Atlantis Hotel
211,Tautira,PF,87.8,broken clouds,-17.7333,-149.15,Pension Oaoa
214,Isangel,VU,79.3,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
215,Port Blair,IN,81.75,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
216,Karratha,AU,82.51,broken clouds,-20.7377,116.8463,ibis Styles Karratha
221,Dhidhdhoo,MV,82.89,clear sky,6.8833,73.1,Dhidhoo beach
224,Tarakan,ID,75.2,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
225,Salalah,OM,82.4,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
228,Palauig,PH,78.31,broken clouds,15.435,119.9045,Myhousebythesea
229,Hobyo,SO,82.38,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
233,Lorengau,PG,78.4,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
234,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
236,Grand Gaube,MU,79.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
244,Coari,BR,82.08,broken clouds,-4.085,-63.1414,HOTEL ALEX FLAT
245,Charleston,US,77.0,broken clouds,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
246,Tabas,IR,76.62,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
