City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,48.99,81,75,11.5,broken clouds
1,Cabo San Lucas,MX,22.8909,-109.9124,84.0,34,75,11.5,broken clouds
2,Punta Arenas,CL,-53.15,-70.9167,57.2,38,0,10.36,clear sky
3,Rio Grande,BR,-32.035,-52.0986,71.6,83,90,20.71,overcast clouds
4,Filipesti,RO,46.75,26.8833,43.0,52,0,9.22,light rain
5,Rikitea,PF,-23.1203,-134.9692,78.35,74,8,8.57,light rain
6,Sioux Lookout,CA,50.1001,-91.917,37.4,93,90,5.75,mist
7,Mount Gambier,AU,-37.8333,140.7667,51.8,82,90,6.91,overcast clouds
8,Guerrero Negro,MX,27.9769,-114.0611,67.23,57,98,16.71,overcast clouds
9,Vaini,TO,-21.2,-175.2,80.6,69,20,5.75,few clouds
10,Lasa,IT,46.6166,10.7002,48.0,93,75,5.75,mist
11,Provideniya,RU,64.3833,-173.3,10.81,86,100,29.86,snow
12,Camacha,PT,33.0833,-16.3333,64.4,94,40,4.61,scattered clouds
13,Norman Wells,CA,65.282,-126.8329,5.0,43,1,12.66,clear sky
14,Mataura,NZ,-46.1927,168.8643,50.0,98,82,1.99,broken clouds
15,Longyearbyen,SJ,78.2186,15.6401,19.4,58,75,14.97,broken clouds
16,Shujalpur,IN,23.4,76.7167,81.7,22,53,4.21,broken clouds
17,Lebu,CL,-37.6167,-73.65,59.63,78,0,13.47,clear sky
18,Asau,RO,46.4333,26.4,42.01,44,0,3.49,light rain
19,Dikson,RU,73.5069,80.5464,30.79,87,100,26.08,overcast clouds
20,Ushuaia,AR,-54.8,-68.3,50.0,53,75,13.8,broken clouds
21,Sao Filipe,CV,14.8961,-24.4956,76.03,67,0,8.88,clear sky
22,Plouzane,FR,48.3833,-4.6167,41.0,70,0,2.3,clear sky
23,Mnogovershinnyy,RU,53.9353,139.9242,15.94,88,74,7.2,broken clouds
24,Albany,US,42.6001,-73.9662,64.99,66,100,10.63,overcast clouds
25,Atuona,PF,-9.8,-139.0333,80.71,76,19,17.43,few clouds
26,Rocha,UY,-34.4833,-54.3333,62.82,78,100,21.9,overcast clouds
27,Bluff,NZ,-46.6,168.3333,50.0,98,22,1.99,light rain
28,Mahebourg,MU,-20.4081,57.7,77.0,94,75,4.61,broken clouds
29,Cherskiy,RU,68.75,161.3,-18.18,99,100,3.85,overcast clouds
30,Bredasdorp,ZA,-34.5322,20.0403,57.2,94,100,3.44,overcast clouds
31,Busselton,AU,-33.65,115.3333,61.0,99,100,1.01,overcast clouds
32,Nantucket,US,41.2835,-70.0995,46.4,93,90,13.8,overcast clouds
33,Butaritari,KI,3.0707,172.7902,80.94,78,31,9.71,light rain
34,Puerto Ayora,EC,-0.7393,-90.3518,80.6,74,40,9.22,scattered clouds
35,Namatanai,PG,-3.6667,152.4333,78.04,85,100,6.2,light rain
36,Hofn,IS,64.2539,-15.2082,38.05,95,100,17.76,light rain
37,Kattivakkam,IN,13.2167,80.3167,82.4,74,40,5.75,mist
38,Banjar,ID,-8.19,114.9675,80.6,89,20,4.61,few clouds
39,Bethel,US,41.3712,-73.414,55.4,88,90,12.66,light rain
40,Sao Mateus,BR,-18.7161,-39.8589,74.5,81,12,4.85,few clouds
41,Jiayuguan,CN,39.8167,98.3,40.64,59,1,3.83,clear sky
42,Avarua,CK,-21.2078,-159.775,82.4,78,18,4.61,moderate rain
43,Guilin,CN,25.2819,110.2864,60.8,94,90,0.87,light rain
44,Asyut,EG,27.181,31.1837,59.0,55,0,12.66,clear sky
45,Frunze,UA,48.6686,38.7544,49.26,86,100,8.93,overcast clouds
46,Ponta Do Sol,PT,32.6667,-17.1,63.0,79,100,3.0,overcast clouds
47,Hilo,US,19.7297,-155.09,80.6,47,1,10.36,clear sky
48,Kapaa,US,22.0752,-159.319,75.0,68,90,9.22,light rain
49,Buraydah,SA,26.326,43.975,69.8,35,0,16.11,clear sky
50,Palana,RU,59.1167,159.9667,5.99,93,99,2.21,overcast clouds
51,Arraial Do Cabo,BR,-22.9661,-42.0278,78.8,78,0,9.22,clear sky
52,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,94,75,8.05,broken clouds
53,College,US,64.8569,-147.8028,26.01,30,90,6.91,overcast clouds
54,Victoria,HK,22.2855,114.1577,73.0,85,93,8.84,overcast clouds
55,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,65,1,9.22,clear sky
56,Lodwar,KE,3.1191,35.5973,85.35,47,66,20.85,broken clouds
57,Krasnoselkup,RU,65.7,82.4667,31.55,97,100,21.61,snow
58,Khatanga,RU,71.9667,102.5,17.02,84,99,12.21,overcast clouds
59,Bandarbeyla,SO,9.4942,50.8122,79.07,70,8,7.34,clear sky
60,Hambantota,LK,6.1241,81.1185,78.22,82,92,1.52,overcast clouds
61,Barrow,US,71.2906,-156.7887,-13.0,77,1,5.75,clear sky
62,Bahia Honda,CU,22.9036,-83.1592,88.77,50,17,12.93,few clouds
63,Jamestown,US,42.097,-79.2353,64.4,52,40,4.61,scattered clouds
64,Loikaw,MM,19.6742,97.2094,69.58,74,27,1.92,scattered clouds
65,Te Anau,NZ,-45.4167,167.7167,50.79,92,75,0.78,broken clouds
66,Yellowknife,CA,62.456,-114.3525,9.0,66,90,8.05,light snow
67,Mangrol,IN,21.1167,70.1167,78.51,71,0,12.06,clear sky
68,Kodiak,US,57.79,-152.4072,39.2,87,90,17.27,moderate rain
69,Severobaykalsk,RU,55.65,109.3167,6.12,84,10,5.08,clear sky
70,Bose,IT,45.4612,8.0137,48.99,91,100,1.01,overcast clouds
71,Stromness,GB,58.965,-3.296,33.8,75,9,3.44,clear sky
72,Cape Town,ZA,-33.9258,18.4232,66.0,94,0,12.66,clear sky
73,Taiyuan,CN,37.8694,112.5603,50.0,66,98,2.24,overcast clouds
74,Tasiilaq,GL,65.6145,-37.6368,28.4,64,0,2.3,clear sky
75,Show Low,US,34.2542,-110.0298,69.01,8,1,6.91,clear sky
76,Puerto Baquerizo Moreno,EC,-0.9,-89.6,82.4,78,75,5.75,broken clouds
77,Creston,US,41.0586,-94.3614,64.4,36,1,13.8,clear sky
78,Port Macquarie,AU,-31.4333,152.9167,50.0,80,0,8.61,clear sky
79,Fortuna,US,40.5982,-124.1573,59.0,62,1,14.97,clear sky
80,Evensk,RU,61.95,159.2333,-0.35,77,16,10.09,few clouds
81,Chokurdakh,RU,70.6333,147.9167,-12.96,97,59,9.82,broken clouds
82,Coihaique,CL,-45.5752,-72.0662,62.6,59,75,8.05,light rain
83,Gidole,ET,5.65,37.3667,57.38,81,59,4.03,broken clouds
84,Ust-Tsilma,RU,65.441,52.1498,34.2,71,35,12.33,scattered clouds
85,Okahandja,NA,-21.9833,16.9167,66.0,49,0,1.99,clear sky
86,Bambous Virieux,MU,-20.3428,57.7575,79.0,94,75,4.61,broken clouds
87,Yambio,SS,4.5721,28.3955,68.76,94,100,6.62,light rain
88,Kavieng,PG,-2.5744,150.7967,77.52,86,100,2.62,light rain
89,Manikpur,IN,25.0667,81.1167,82.22,26,38,2.77,scattered clouds
90,Westport,US,41.1415,-73.3579,50.0,87,90,16.11,moderate rain
91,Shenjiamen,CN,29.9576,122.298,60.33,95,100,17.63,moderate rain
92,Cap Malheureux,MU,-19.9842,57.6142,79.0,82,99,1.99,light rain
93,Port Elizabeth,ZA,-33.918,25.5701,57.99,87,77,1.01,broken clouds
94,Parakai,NZ,-36.65,174.4333,66.99,98,23,4.0,few clouds
95,Bhadrachalam,IN,17.6667,80.8833,81.05,69,16,4.61,few clouds
96,Ust-Omchug,RU,61.15,149.6333,-3.32,87,100,5.95,overcast clouds
97,Nikolskoye,RU,59.7035,30.7861,43.0,49,0,6.71,light rain
98,Qaanaaq,GL,77.484,-69.3632,22.95,94,100,11.9,snow
99,Onguday,RU,50.75,86.15,33.44,77,1,2.62,clear sky
100,Baghdad,IQ,33.3406,44.4009,57.2,47,0,5.75,clear sky
101,Kipushi,CD,-11.7667,27.2333,59.09,97,45,4.52,scattered clouds
102,San Patricio,US,28.017,-97.5169,87.8,57,75,11.5,broken clouds
103,Pevek,RU,69.7008,170.3133,-17.48,100,100,4.47,overcast clouds
104,Alegrete,BR,-29.7831,-55.7919,66.49,67,98,13.2,overcast clouds
105,Hami,CN,42.8,93.45,53.44,33,100,11.12,overcast clouds
106,Vila Do Maio,CV,15.1333,-23.2167,75.2,53,0,18.41,clear sky
107,Taoudenni,ML,22.6783,-3.9836,88.95,13,0,6.62,clear sky
108,Maynooth,IE,53.385,-6.5936,39.2,93,75,6.91,heavy intensity rain
109,Geraldton,AU,-28.7667,114.6,73.4,88,40,18.41,scattered clouds
110,San Cristobal,VE,7.7669,-72.225,89.6,51,40,11.5,scattered clouds
